"1","820565133        			","
										No foult 10/10 black colour set provide with one day check worrenty  :)									","166"
"1","820565193        			","
										em saling my Motorola 
is ka tuch toot gaya ha per kam ok kar raha ha sub jaga per or battry problem ha chalty chaltt restart ho jata ha asy he sal karna ha									","228"
"1","820565181        			","
										Lg f100 for sale as shown in pics hd screen 8 megapixel camera 32 gb youtube working .									","82"
"1","820565189        			","
										Momery card dalta hy
Net b hy
Lcd ni hy baqi sb ft hy garante									","134"
"1","820564981        			","
										samsung galaxy grand prime white original brand new complete box  A1 Condition  
Warranty Start  From 20 Sep- 15
serious person contact me									","131"
"1","820565177        			","
										Samsung grand 2
For sale or exchange 
Urgently									","152"
"1","820565163        			","
										5s 9.7/10
Gold color 
Caharger only 
No open									","166"
"1","819991057        			","
										iPhone 4 16 GB in lush condition sirf network lock hy wo jv sim sy thk ho jy ga jv sim 200 ya 300 ke milte hy baki set bilkul thk hy factory unlocked hy white colour my hy set ky sath charger r data cable hy.									","680"
"1","820565027        			","
										Galaxy S6 edge 32gb white.Model G- 925F.Condition 9.5/10.Only one dot on edge as seen in pic.Only set nd charger.									","243"
"1","820564995        			","
										Its LG f180 black color 2gb ram 32gb memory 100% ok great battry timing quard core processor only kit.									","92"
"1","820565021        			","
										ram 2gp and rom 32gp 
back camera 13mp and 5mp 
only mobile and orgnal chager
usa se aya hai...condition 10 by 10 real									","120"
"1","820564973        			","
										512 Ram
5 Inch display (sms only plz)									","159"
"1","820565011        			","
										In silver and gold sides.
Original XUNDD cover.
Imported covers.
Available in whole sale price.
And also available in Differnt models.									","76"
"1","820565097        			","
										I wana sale my iphone 10/10 codition bilkul new set 16gb kamal ke condition hai aik b secrach nahi hai set new hai khula howa nahi hai white coler hai argent									","213"
"1","820564969        			","
										Cell charger pouch available. 
9.5/10 condition.
No fault no opened no repaired.
Exchange possible with s4 or any other good phone.									","68"
"1","820565035        			","
										Aluminum Cover Case For iphone 6 6s 6plus 
Delivered to all over Pakistan via courier services									","43"
"1","820565013        			","
										Oppo joy
model R1001
Black colour
all access + box + warrenty card
long battery life 1700mAh
3G enable Dual sim
Smart gestures									","115"
"1","818508479        			","
										Samsung galaxy A5 10/10 not even a single scratch with full box untouch accessories.. 4G Lte, dual sim, almost 1.5 day battery timing. No exchange offers plzzz									","694"
"1","820565061        			","
										motorola moto x brand new condition 100% original officially upgraded 5.1 lollipop condition 10/10 and 2 gb ram plus 10 mp camera with 3 days checking warranty only set just in rs.10600 price are final.									","162"
"1","820565033        			","
										Btry timg bhoat achi hy									","84"
"1","820565017        			","
										nokia lumia 920 in red colour
good condition 9/10
good battery timing
no open no repair
exchange possible with good set
serious people contact									","28"
"1","820564907        			","
										Me abdul rehman it is very nice condition its is shining i am bhought new phone contact to me .									","147"
"1","820559975        			","
										Samsung galaxy Core GT I8262
Dual core smart Processor
RAM 1 GB
Internal Memory 4GB
Front Cam 2mp
Back Camera 5mp									","84"
"1","820549659        			","
										Q Mobile A500 in good condition for urgent sale. 
Condition 8.5/10
3g &  4g activated
Quad core processor, 8gb memory, 512 ram. 
Only sim 1 is working sim 2 port need to be repair small fault 
Price is almost final. No exchange and no time pass. Please. Thanks
LOCATION: Malir kala board / Malir 15									","375"
"1","820564963        			","
										In good condition good betry									","99"
"1","820564929        			","
										Nokia E6, good condition (out of warrenty), charger, hand free, 3G enabled									","126"
"1","820564905        			","
										Nokia 220 with charger									","135"
"1","819675233        			","
										High Quality Product
Smooth Zipper-styled cable
Includes controller
Powerful magnetic bass driven sound
Bas boost system
Impedance: 32 Ampere
Input power: 1mW
Maximum Input power: 3mW
Plug type: 3.5mm
Supports all phones, tablets, Mp3 Players, laptops, DVD Players and more
Made in China
Qty Available
Delivery Service Available with Extra Charges
Price: 550
Near Baloch Colony Bridge, Shahra-e-Faisal									","300"
"1","820564887        			","
										LG G3 with complete box only for G3 lovers. No refurbished or   reconditioned. No xchange or foolish offers plz. Price is dead final keep in mind plz. Brand new cell fone. Only serious buyer can contact no time waster plz									","97"
"1","820564879        			","
										Vega 860 k white lush ..32 gb 2 gb 5.9 amoled 13 mp 2 mp...serious buyers no exchange..with charger..treat 4 big screen lovers supports all hvy games									","93"
"1","820564883        			","
										Gud cndition ma hai pric fnl hai bilkl									","113"
